,NLC,Origin TLC,Station Name,postcode,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits","%-change, 2010-11 to 2011-12",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,lat,long
0,5131,ABW,Abbey Wood,SE2 9RH,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,"274,204","385,667","907,266","1,567,137","274,204","385,667","907,266","1,567,137","3,134,274","3,030,212",3,0,0,0,,,,
1,3813,ABE,Aber,CF83 1AQ,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"48,670","4,852","48,206","101,728","48,670","4,852","48,206","101,728","203,456","202,486",0,0,0,0,,,51.576021999999995,-3.2292650000000003
2,3801,ACY,Abercynon,CF45 4SE,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"77,667","5,163","37,205","120,035","77,667","5,163","37,205","120,035","240,070","214,492",12,"35,304",1,0,Continues high growth from previous year,,51.64465,-3.3268690000000003
3,3982,ABA,Aberdare,CF44 0PU,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"164,324","17,853","86,597","268,774","164,324","17,853","86,597","268,774","537,548","524,592",2,0,0,0,,,51.701908,-3.41517
4,8976,ABD,Aberdeen,AB11 6LX,Scotland,Aberdeen City,Aberdeen City,UKM1,North Eastern Scotland,First ScotRail,,,,"500,499","829,571","255,043","1,585,113","500,499","829,571","255,043","1,585,113","3,170,226","2,964,302",7,"197,046",0,0,,,57.14414300000001,-2.098785
5,9090,AUR,Aberdour,KY3 0SN,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,"17,111","28,489","17,403","63,003","17,111","28,489","17,403","63,003","126,006","129,786",-3,0,0,0,,,,
6,4435,AVY,Aberdovey,LL35 0NR,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"12,854","5,494",0,"18,348","12,854","5,494",0,"18,348","36,696","32,190",14,0,1,0,Continues high growth from previous year,,52.544766,-4.051766000000001
7,4440,ABH,Abererch,LL53 6PJ,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,631,262,0,893,631,262,0,893,"1,786","1,620",10,0,0,0,,,52.897263,-4.377612
8,3602,AGV,Abergavenny,NP7 5HS,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,,"92,683","63,921","28,994","185,598","92,683","63,921","28,994","185,598","371,196","357,326",4,0,0,0,,,,
9,2448,AGL,Abergele & Pensarn,LL22 7PR,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,"23,144","15,276","3,824","42,244","23,144","15,276","3,824","42,244","84,488","76,650",10,0,1,0,Continues high growth from previous year,,53.294171,-3.580224
