OrganisationName,Latitude,Longitude
Lords Pharmacy ,52.2447967529,0.4055977464
Sainsbury's Pharmacy,54.8952980042,-2.9451341629
Weldricks Pharmacy,53.5129928589,-1.1328977346
Rutland Late Night Pharmacy ,52.6699943542,-0.7301388383
Stockport Pharmacy (Internet Only),53.4020500183,-2.1650454998
Cohens Chemist,52.5408821106,-1.3677403927
Click2Chemist,52.6401062012,-1.7104154825
PharmaCare Medical  ,52.605682373,0.3005014658
East Street Pharmacy,51.1974105835,0.2792267203
Asda Pharmacy,53.3702201843,-3.0763599873
Instachem Ltd,50.8408508301,-1.8635928631
Sutton & Merton  Out of Hours,51.3831062317,-0.1884892285
Tesco Instore Pharmacy,51.2840957642,-1.0590628386
CHURCH PHARMACY,52.7690734863,-1.2078050375
Cheadle Heath Pharmacy,53.400806427,-2.1940469742
Rowlands Pharmacy,53.372379303,-2.1273405552
Rowlands Pharmacy,51.7404975891,0.6890409589
Boots,53.8022766113,-1.5450389385
Medichem,51.520942688,-0.0445302874
Headcorn Pharmacy,51.1703948975,0.6327981949
Lloydspharmacy,53.9109344482,-0.1741489917
Grendon Pharmacy,52.5859375,-1.5996764898
Rowlands Pharmacy,50.82188797,-1.0750677586
Bridgegate Chemist,53.3244171143,-0.9462299943
New Line Pharmacy,55.1636123657,-1.5752314329
Sarsons Pharmacy,50.4357719421,-3.5683751106
Lloydspharmacy,52.4490890503,-0.1071891189
Coastal Pharmacy,54.0638999939,-2.8861951828
Fa Strange Chemist,51.5550537109,-0.0550262295
Instore Pharmacy,51.5201454163,0.19069691
Boots,51.5074424744,-0.141887784
Sainsbury's Supermarkets Ltd,52.6527137756,1.186391592
Heswall Hills Pharmacy,53.3297653198,-3.074665308
Wm Morrison Supermarkets Plc,53.0312995911,-2.192581892
The Co-Operative Pharmacy,51.6075325012,0.0353273749
Singlewell Pharmacy,51.4282722473,0.3674921095
Boots,52.8020019531,-1.6325978041
Fairview Pharmacy,51.6047821045,-0.2729389966
King Street Pharmacy,50.3720397949,-4.149600029
Boots,51.4513702393,0.1813862771
Lloydspharmacy,52.475025177,-2.0383379459
Asda Pharmacy,50.8679542542,-0.1238709688
Sai Chemists,51.514125824,-0.0625350773
Heathbrook Pharmacy,52.6279792786,-1.3398046494
Kamsons Pharmacy,51.1119384766,-0.1904981732
Morrill Pharmacy,53.755897522,-0.3095874786
Sainsbury's Pharmacy,51.5759811401,0.1801319718
Rowlands Pharmacy,54.5616912842,-1.3189228773
Day Lewis Pharmacy,50.6916122437,-1.312092185
Tesco Instore Pharmacy,54.6408653259,-1.694329977
Boots,50.3089561462,-5.203086853
Asda Stores Ltd,53.8560905457,-1.6064381599
Wyken Pharmacy,52.425453186,-1.4705411196
Savile Town Pharmacy,53.6842346191,-1.6306920052
Medway Pharmacy,51.5344848633,-0.3327990174
Greenfields Pharmacy,51.5461769104,-0.1415216923
Eccleshall Pharmacy,52.8596496582,-2.2541105747
Lloydspharmacy,53.4228782654,-1.4708775282
Lloydspharmacy,50.721118927,-3.520932436
The Co-Operative Pharmacy,54.8817901611,-2.9289033413
Silver Street Pharmacy,51.347530365,-2.2502450943
Weldricks Pharmacy,53.5222091675,-1.1287242174
Moins Chemist,52.4774856567,-0.9221109152
Ravenor Chemist,51.5286445618,-0.3548389971
Rowlands Pharmacy,53.4673461914,-2.9144356251
Harfleur Chemist,51.4719314575,-0.1225389466
Salter Wa (Chemists) Ltd,53.542175293,-2.6065268517
Lords Pharmacy,51.4148902893,-0.1999601573
Tesco Pharmacy,51.5363082886,0.070793137
Chestnut Pharmacy,53.5833816528,-1.1860787868
Boots,52.1009216309,-1.9409601688
The Co-Operative Pharmacy,53.795753479,-1.5953589678
Lloydspharmacy,53.9743614197,-1.0851573944
Walker Chemists,51.5023040771,-0.281426549
Crossbells Pharmacy,51.5064315796,-0.2540082037
Tesco Pharmacy,50.8346252441,-0.8008107543
Rowlands Pharmacy,53.4356040955,-2.7581532001
Bowburn Pharmacy Ltd,54.7340393066,-1.5252834558
Boots,51.4265022278,-0.0526789203
Lloydspharmacy,52.2246246338,0.1282353103
Cornwell�s Chemists � Holmcroft,52.8224067688,-2.1320006847
Eilbeck Jf (Chemist) Ltd,54.9560241699,-1.6042026281
Clarke & Coleman,51.197227478,0.2751239836
Pearl Pharmacy,51.4710884094,-0.124574855
Erleigh Road Pharmacy,51.4491157532,-0.947170198
Boots,51.7450065613,-0.9685522914
Rowlands Pharmacy,53.5489349365,-2.5210931301
Boots,50.9266853333,-2.9091775417
The Pharmacy,52.4976654053,-1.9041084051
Rowlands Pharmacy,53.1414604187,0.3200041056
Cohens Chemist,53.6511306763,-2.6314043999
The Co-Operative Pharmacy,53.7575378418,-0.3073069155
Brook Pharmacy,52.2559661865,-0.8044366241
Spiralstone Pharmacy,50.9091262817,-1.3969054222
Lloydspharmacy,51.9915657043,-2.1595830917
Badham Pharmacy,51.8172836304,-2.2742829323
Boots,53.4165687561,-1.3215055466
Brewery Lane Pharmacy Ltd,55.0492591858,-1.7431930304
Asda Pharmacy,50.8119659424,-0.1053052023
Hedgemans Pharmacy,51.5390815735,0.1293372065
Tesco Instore Pharmacy,51.4598503113,-0.9948122501
Boots,52.6822166443,-2.4529049397
