EstablishmentName,EstablishmentTypeGroup (name),PhaseOfEducation (name),Gender (name),SchoolCapacity,OfstedRating (name),Lat,Lng
The Five Islands School,LA maintained schools,All through,Mixed,285,Special Measures,49.915513901029804,-6.306993679170317
Sennen Community Primary Academy,Academies,Primary,Mixed,84,Good,50.07564600596869,-5.686462808707696
St Just Primary School,Academies,Primary,Mixed,210,Good,50.123704464517274,-5.682487973160862
Cape Cornwall School,LA maintained schools,Secondary,Mixed,612,Special Measures,50.124632100046114,-5.682461269819493
Pendeen School,Academies,Primary,Mixed,95,Good,50.15034464569012,-5.664959171332036
St Levan Primary School,LA maintained schools,Primary,Mixed,39,Good,50.059740183580395,-5.653695812844361
St Buryan Primary School,Academies,Primary,Mixed,140,Good,50.07346553006875,-5.620025188973683
Trythall Community Primary School,LA maintained schools,Primary,Mixed,80,Good,50.152161383891844,-5.567140485286429
"St Maddern's CofE School, Madron",LA maintained schools,Primary,Mixed,59,Good,50.13079515502597,-5.56322628951859
Heamoor Community Primary School,LA maintained schools,Primary,Mixed,240,Good,50.123663404456835,-5.557251906645105
Mounts Bay Academy,Academies,Secondary,Mixed,925,Outstanding,50.12768490525188,-5.55550685629435
Newlyn School,Academies,Primary,Mixed,210,Good,50.10834179222673,-5.549273841372314
Nancealverne School,Academies,Not applicable,Mixed,,Good,50.12377171528567,-5.547840986959267
Alverton Primary School,Academies,Primary,Mixed,287,Good,50.11331476808755,-5.547011320265996
Pensans Primary School,Academies,Primary,Mixed,350,Good,50.122927816611636,-5.546896832227166
Mousehole Community Primary School,Academies,Primary,Mixed,105,Good,50.08490701088249,-5.538535056212858
Humphry Davy School,LA maintained schools,Secondary,Mixed,864,Good,50.124229102790316,-5.539939339939495
"St Mary's CofE Primary School, Penzance",LA maintained schools,Primary,Mixed,190,Good,50.11331116736354,-5.538587633071249
Penwith Alternative Provision Academy,Academies,Not applicable,Mixed,40,Outstanding,50.12469037188115,-5.536026613870516
"St Mary's Catholic School, Penzance",Academies,Primary,Mixed,210,Special Measures,50.12556927715657,-5.535825525566511
Gulval School,Academies,Primary,Mixed,180,Good,50.13147212662191,-5.523691108370581
Nancledra School,Academies,Primary,Mixed,105,Good,50.177078803063594,-5.512491264353891
St Ives Junior School,LA maintained schools,Primary,Mixed,280,Outstanding,50.20760582974422,-5.48689064963146
St Ives Infant School,Academies,Primary,Mixed,180,Good,50.20771646984333,-5.485903307563184
Ludgvan School,Academies,Primary,Mixed,210,Outstanding,50.14509560518384,-5.480742194333808
St Ives School,Academies,Secondary,Mixed,750,Good,50.20122558413777,-5.479430293868312
Marazion School,LA maintained schools,Primary,Mixed,129,Good,50.12511018347881,-5.464273485499718
St Uny CofE School,Academies,Primary,Mixed,278,Good,50.19010816076686,-5.463373426906034
St Erth Community Primary School,Academies,Primary,Mixed,82,Good,50.16644300013826,-5.42676771926428
St Hilary School,Academies,Primary,Mixed,245,Good,50.13067985560294,-5.421830596022939
St Piran's School (Gb) Ltd,Independent schools,Not applicable,Mixed,78,,50.17799775723213,-5.424260541644397
Penpol School,LA maintained schools,Primary,Mixed,379,Outstanding,50.18215515207717,-5.4178322271901935
Hayle Academy,Academies,Secondary,Mixed,769,Good,50.18420338282732,-5.409682976851269
Bodriggy Academy,Academies,Primary,Mixed,294,Outstanding,50.18680037373724,-5.409181425735084
Germoe Community Primary School,LA maintained schools,Primary,Mixed,49,Good,50.113814990607985,-5.378678629341643
Connor Downs Primary School,Academies,Primary,Mixed,175,Good,50.2036611515777,-5.376571127366491
Leedstown Community Primary School,Academies,Primary,Mixed,90,Good,50.15795359239514,-5.357073178894654
Godolphin Primary School,Academies,Primary,Mixed,105,Good,50.132927936913106,-5.349118997323433
Gwinear Community Primary School,LA maintained schools,Primary,Mixed,120,Good,50.18740071108056,-5.352132546006098
Breage Church of England School,Academies,Primary,Mixed,73,Good,50.10551504780986,-5.333117404616085
Kehelland Trust,Other types,Not applicable,Mixed,60,,50.221175188778446,-5.331867712405568
Kehelland Village School,Academies,Primary,Mixed,84,Good,50.21933017539518,-5.3287521749812345
Porthleven School,Academies,Primary,Mixed,300,Good,50.09038568703847,-5.311298824141448
Sithney Community Primary School,Academies,Primary,Mixed,87,Outstanding,50.124059419853694,-5.307312228495398
