FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,Geocode/Longitude,Geocode/Latitude,AddressLine3,AddressLine4,RatingDate/_xsi:nil
706071,14930/0110/0/000,7 Bone Burger Co,Restaurant/Cafe/Canteen,1,110 Portswood Road,Southampton,SO17 2FW,3,fhrs_3_en-GB,2016-02-16,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,10,10,10,FHRS,False,-1.39505500000000,50.92215400000000,,,
219539,11170/0044/0/000,88 Chinese Restaurant,Restaurant/Cafe/Canteen,1,44 London Road,Southampton,SO15 2AH,5,fhrs_5_en-GB,2017-09-18,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40359400000000,50.91194700000000,,,
219913,06/00072/FOOD,90 Degrees At Carltons,Restaurant/Cafe/Canteen,1,24 Carlton Place,Southampton,SO15 2DY,4,fhrs_4_en-GB,2015-08-17,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.40517700000000,50.91273700000000,,,
371607,09/00067/COMM,99p Stores Ltd,Retailers - other,4613,3 - 7 Shirley High Street,Southampton,SO15 3UL,5,fhrs_5_en-GB,2014-06-04,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.43905500000000,50.91531200000000,,,
220098,16850/7375/0/001,A T And P M Phillips,Retailers - other,4613,Outside,73-75 Shirley High Street,SO15 3NP,5,fhrs_5_en-GB,2008-07-28,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.43350600000000,50.92259900000000,Southampton,,
219851,18770/0037/2/000,Abbey Lodge Guest House,Hotel/bed & breakfast/guest house,7842,Abbey Lodge Guest House,37 The Polygon,SO15 2BP,5,fhrs_5_en-GB,2012-04-18,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.41076300000000,50.90968100000000,Southampton,,
219822,21220/0348/0/000,Abbey Rest Home,Hospitals/Childcare/Caring Premises,5,348 Winchester Road,Southampton,SO16 6TW,4,fhrs_4_en-GB,2017-02-02,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.42073500000000,50.93364200000000,,,
220043,04670/0015/0/000,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,15 Cobbett Road,Southampton,SO18 1HJ,5,fhrs_5_en-GB,2008-09-04,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.37307900000000,50.92071600000000,,,
429777,00080/2001/2/000,Above Bar Church,Other catering premises,7841,69A Above Bar Street,Southampton,SO14 7FE,5,fhrs_5_en-GB,2014-03-26,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.40483200000000,50.90521800000000,,,
219576,08940/4425/3/BER,ABP Mayflower Cruise Terminal,Restaurant/Cafe/Canteen,1,Berth 105-106,Herbert Walker Avenue,SO15 1HJ,5,fhrs_5_en-GB,2012-09-17,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.42264400000000,50.90351700000000,Western Docks,Southampton,
219080,09530/0040/0/000,Addenro House Hotel,Hotel/bed & breakfast/guest house,7842,40-42 Howard Road,Southampton,SO15 5BL,5,fhrs_5_en-GB,2017-11-10,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,0,5,FHRS,False,-1.41930200000000,50.91500200000000,,,
219306,16530/2001/2/000,Adem's Cafe Ltd,Restaurant/Cafe/Canteen,1,Southampton Harley Davidson,Heritage House,SO15 0LP,4,fhrs_4_en-GB,2011-11-16,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.45943300000000,50.91724500000000,Second Avenue,Southampton,
872075,16/00022/COMM,Adoquin,Hospitals/Childcare/Caring Premises,5,80 Portsmouth Road,Southampton,SO19 9AN,5,fhrs_5_en-GB,2016-06-24,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.36949600000000,50.89631800000000,,,
409175,17730/2003/2/000,Afritopia,Restaurant/Cafe/Canteen,1,127 St. Mary Street,Southampton,SO14 1PG,4,fhrs_4_en-GB,2017-01-24,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.39649400000000,50.90553400000000,,,
220093,08/00114/FOOD,Afro Caribbean Food Store,Retailers - other,4613,415 Shirley Road,Freemantle,SO15 3JF,5,fhrs_5_en-GB,2011-11-07,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.43070100000000,50.92042700000000,Southampton,,
219844,21020/4425/3/005,After School Club,Hospitals/Childcare/Caring Premises,5,Flat 5,Westfield Corner,SO18 2LE,5,fhrs_5_en-GB,1999-03-10,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.37285100000000,50.94197300000000,Wide Lane,Southampton,
838080,06/00062/FOOD,After School Club,Hospitals/Childcare/Caring Premises,5,Foundry Lane,Southampton,SO15 3JT,AwaitingInspection,fhrs_awaitinginspection_en-GB,,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,,,,FHRS,False,-1.43433400000000,50.91998600000000,,,true
220346,17720/0058/0/000,Alauddin Sweets,Restaurant/Cafe/Canteen,1,58 St. Marys Road,Southampton,SO14 0BH,4,fhrs_4_en-GB,2017-03-13,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.39941200000000,50.90974000000000,,,
219888,09530/0020/2/000,Alcantara Guest House,Hotel/bed & breakfast/guest house,7842,Alcantara Guest House,20 Howard Road,SO15 5BN,5,fhrs_5_en-GB,2012-06-01,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,0,5,FHRS,False,-1.41805000000000,50.91500500000000,Southampton,,
219383,01990/0080/0/000,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,7840,88 - 96 Bevois Valley Road,Southampton,SO14 0JZ,5,fhrs_5_en-GB,2013-09-09,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,0,0,FHRS,False,-1.39525200000000,50.91797400000000,,,
838331,14/00042/FOOD,Alf's Kebab,Restaurant/Cafe/Canteen,1,28 Holly Oak Road,Southampton,SO16 5GD,AwaitingInspection,fhrs_awaitinginspection_en-GB,,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,,,,FHRS,False,-1.44068300000000,50.93742500000000,,,true
1007419,17/00026/FOOD,All Bar One West Quay,Pub/bar/nightclub,7843,Unit 4 Level 3,Watermark West Quay South,SO15 1DE,5,fhrs_5_en-GB,2017-08-23,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,0,0,FHRS,False,,,Harbour Parade,Southampton,
838438,15/00045/FOOD,All Hallows Too Pre-School,Hospitals/Childcare/Caring Premises,5,Community Centre,Meggeson Avenue,SO18 2FH,AwaitingInspection,fhrs_awaitinginspection_en-GB,,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,,,,FHRS,False,-1.35788400000000,50.93008400000000,Southampton,,true
219931,21220/2002/2/000,All Saints Church Centre,Hospitals/Childcare/Caring Premises,5,31 Pointout Road,Southampton,SO16 7DL,5,fhrs_5_en-GB,2011-12-06,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,0,FHRS,False,-1.41467700000000,50.93554500000000,,,
220323,19660/0001/0/000,Alpine News and Food Ltd,Retailers - other,4613,1 Vanguard Road,Southampton,SO18 2EQ,4,fhrs_4_en-GB,2018-03-07,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.36042200000000,50.92354300000000,,,
1007440,17/00126/FOOD,AMT COFFEE,Restaurant/Cafe/Canteen,1,Princess Anne Hospital,Coxford Road,SO16 5YA,5,fhrs_5_en-GB,2018-01-10,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,5,0,FHRS,False,-1.43487500000000,50.93526700000000,Southampton,,
811156,15/00039/FOOD,Anchor - Care Home,Hospitals/Childcare/Caring Premises,5,Mayflower Court,62 - 70 Westwood Road,SO17 1DP,5,fhrs_5_en-GB,2016-11-08,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,5,FHRS,False,-1.39875900000000,50.92392600000000,Southampton,,
219766,12440/0070/0/000,Andros Fish Bar,Takeaway/sandwich shop,7844,70 Merry Oak Road,Southampton,SO19 7QR,4,fhrs_4_en-GB,2017-07-31,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,10,5,FHRS,False,-1.36464200000000,50.90618400000000,,,
219302,11780/0018/0/000,Andys Chip Shop,Takeaway/sandwich shop,7844,18 Manor Farm Road,Bitterne Park,SO18 1NP,5,fhrs_5_en-GB,2016-03-17,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.37608200000000,50.92488700000000,Southampton,,
219843,14860/0014/0/000,Annies Cafe,Restaurant/Cafe/Canteen,1,14 Portsmouth Road,Southampton,SO19 9AA,5,fhrs_5_en-GB,2016-02-11,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.37984000000000,50.89798300000000,,,
219741,03920/0026/0/000,Appleton House,Hospitals/Childcare/Caring Premises,5,26 Chafen Road,Southampton,SO18 1BB,5,fhrs_5_en-GB,2010-03-16,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.37878200000000,50.91877700000000,,,
220359,05/00459/FOOD,Aqua Lounge,Pub/bar/nightclub,7843,188 Above Bar Street,Southampton,SO14 7DW,3,fhrs_3_en-GB,2009-09-10,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,10,10,5,FHRS,False,-1.40447000000000,50.90905600000000,,,
219898,10550/0013/0/000,Argyle Lodge,Hotel/bed & breakfast/guest house,7842,13 Landguard Road,Southampton,SO15 5DL,4,fhrs_4_en-GB,2010-01-20,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,10,FHRS,False,-1.41822500000000,50.91235300000000,,,
220336,05/00011/ALLPRE,Arlott Bar,Pub/bar/nightclub,7843,University Road,Southampton,SO17 1BJ,5,fhrs_5_en-GB,2014-06-02,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,0,0,5,FHRS,False,-1.39569600000000,50.93419800000000,Hampshire,,
499708,21290/0033/0/000,Arrow News,Retailers - other,4613,33 Windrush Road,Southampton,SO16 9DD,3,fhrs_3_en-GB,2015-01-12,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,10,10,10,FHRS,False,-1.45758000000000,50.92488000000000,Hampshire,,
811151,15/00018/FOOD,Artino's Pizza,Takeaway/sandwich shop,7844,57 Montague Avenue,Southampton,SO19 0QB,5,fhrs_5_en-GB,2017-01-04,877,Southampton,http://www.southampton.gov.uk,hygiene.rating@southampton.gov.uk,5,5,5,FHRS,False,-1.33790900000000,50.89975900000000,,,
